Make,Driver,mgr,Acceleration 0-100 km/h,Top speed,ER,Total Power,Total Torque,Drive,BC,Length,Width,Height,Wheelbase,Gross Vehicle Weight (GVWR),Max. Payload,Cargo Volume,Seats,Range,Battery Level (%),Latitude (N),Longitude (E),Speed,Vehicle Status,Pincode,Maintenance Cost,Charge Cost,Dates,Day,Month,Year
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,201.24,51,18.367,77.4206,193,0,71114,1947,21,23-03-24,23,3,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,211.87,53,10.1628,78.5346,45,0,23745,1998,88,19-09-24,19,9,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,114.16,34,14.278,79.5875,44,1,99727,1243,73,25-09-24,25,9,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,358.63,83,19.0941,79.2874,98,1,44345,2434,14,18-01-24,18,1,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,228.7,57,18.7442,77.0172,48,0,16819,1082,100,30-09-24,30,9,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,369.45,85,18.766,76.7837,107,0,7218,1626,100,08-10-24,8,10,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,363.9,84,10.9334,76.483,49,1,74512,1888,87,11-03-24,11,3,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,169.44,45,10.5179,77.3517,89,1,2752,1276,60,22-10-24,22,10,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,264.91,64,15.9368,78.0168,190,0,5059,1779,94,11-05-24,11,5,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,395.07,90,14.777,79.1243,121,1,77327,1636,85,04-02-24,4,2,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,228.51,57,12.2895,79.6407,147,0,56108,2467,26,17-05-24,17,5,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,300.21,71,18.0596,76.6946,139,0,47664,2173,26,19-09-24,19,9,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,111.47,33,18.1337,77.2874,132,1,66199,1429,45,30-09-24,30,9,24
Tesla 1,chandu,Elon musk,4.4,233,485,366,493,AWD,82,4694,1849,1443,2875,2232,388,561,5,114.22,34,16.7714,78.436,198,1,10329,476,12,02-01-24,2,1,24
